Data,Ultimo,Abertura,Maxima,Minima
03/28/2019,"3,9005","3,9924","4,016","3,8982"
03/27/2019,"3,9933","3,8747","4,0021","3,8725"
03/26/2019,"3,8769","3,8528","3,8797","3,8336"
03/25/2019,"3,8535","3,9041","3,9369","3,8435"
03/22/2019,"3,9066","3,7926","3,9168","3,7926"
03/21/2019,"3,7921","3,7755","3,8382","3,7635"
03/20/2019,"3,7756","3,7917","3,7993","3,7381"
03/19/2019,"3,7885","3,7917","3,8003","3,7647"
03/18/2019,"3,7913","3,8173","3,828","3,7836"
03/15/2019,"3,8131","3,8444","3,8719","3,8075"
03/14/2019,"3,843","3,8147","3,855","3,8133"
03/13/2019,"3,8142","3,8112","3,8355","3,7996"
03/12/2019,"3,8111","3,8406","3,845","3,8017"
03/11/2019,"3,8392","3,8667","3,8675","3,8338"
03/08/2019,"3,8666","3,8707","3,9037","3,8497"
03/07/2019,"3,8701","3,8403","3,9033","3,8163"
03/06/2019,"3,8397","3,777","3,8454","3,7748"
03/05/2019,"3,775","3,7755","3,7755","3,7755"
03/04/2019,"3,775","3,7748","3,7755","3,7748"
03/01/2019,"3,7749","3,751","3,7965","3,746"
02/28/2019,"3,7511","3,7265","3,7597","3,7173"
02/27/2019,"3,7285","3,7446","3,7484","3,7221"
02/26/2019,"3,7487","3,7517","3,7669","3,7383"
02/25/2019,"3,7519","3,7477","3,7523","3,7194"
02/22/2019,"3,7482","3,7682","3,7682","3,7264"
02/21/2019,"3,7693","3,7254","3,7724","3,7155"
02/20/2019,"3,7273","3,724","3,7374","3,6905"
02/19/2019,"3,7227","3,7332","3,7452","3,7034"
02/18/2019,"3,7351","3,702","3,7429","3,702"
02/15/2019,"3,7007","3,7205","3,7268","3,6991"
02/14/2019,"3,7232","3,7524","3,7956","3,7144"
02/13/2019,"3,7543","3,7106","3,7627","3,7106"
02/12/2019,"3,7097","3,7442","3,7476","3,7026"
02/11/2019,"3,7576","3,7322","3,7751","3,7279"
02/08/2019,"3,729","3,7196","3,7483","3,7028"
02/07/2019,"3,7166","3,6999","3,7379","3,6994"
02/06/2019,"3,6982","3,6699","3,7166","3,6673"
02/05/2019,"3,6695","3,6643","3,6851","3,6612"
02/04/2019,"3,6686","3,6597","3,6884","3,6595"
02/01/2019,"3,6596","3,6455","3,6828","3,6385"
01/31/2019,"3,6439","3,6865","3,6865","3,6364"
01/30/2019,"3,6849","3,7205","3,7327","3,6744"
01/29/2019,"3,7201","3,7617","3,7655","3,7155"
01/28/2019,"3,7614","3,7785","3,7879","3,7505"
01/25/2019,"3,7695","3,7705","3,771","3,7703"
01/24/2019,"3,7718","3,7746","3,7946","3,7375"
01/23/2019,"3,7648","3,7938","3,8124","3,7554"
01/22/2019,"3,8142","3,755","3,8171","3,7454"
01/21/2019,"3,7535","3,7604","3,7804","3,7534"
01/18/2019,"3,7502","3,7475","3,7738","3,7278"
01/17/2019,"3,7502","3,7339","3,7746","3,7267"
01/16/2019,"3,7361","3,7156","3,7384","3,7087"
01/15/2019,"3,7167","3,7032","3,7328","3,6944"
01/14/2019,"3,6978","3,7113","3,7352","3,684"
01/11/2019,"3,7108","3,6948","3,7303","3,6912"
01/10/2019,"3,7104","3,6807","3,7254","3,6751"
01/09/2019,"3,6806","3,7138","3,7159","3,675"
01/08/2019,"3,7132","3,7373","3,7423","3,7039"
01/07/2019,"3,7351","3,7144","3,7387","3,69"
01/04/2019,"3,7154","3,7593","3,7857","3,7093"
01/03/2019,"3,7564","3,7965","3,8081","3,738"
01/02/2019,"3,7897","3,8793","3,8976","3,7833"
01/01/2019,"3,8804","3,8804","3,8804","3,8804"
12/31/2018,"3,8804","3,8804","3,8804","3,8804"
