date;price;market_cap;total_volume
15/10/2013;R$ 143,89;R$ 1.704.751.164,00;0
16/10/2013;R$ 143,61;R$ 1.702.245.233,00;0
17/10/2013;R$ 146,15;R$ 1.732.995.548,00;0
18/10/2013;R$ 151,34;R$ 1.795.176.162,00;0
19/10/2013;R$ 170,51;R$ 2.023.531.688,00;0
20/10/2013;R$ 172,01;R$ 2.042.261.829,00;0
21/10/2013;R$ 181,41;R$ 2.154.778.910,00;0
22/10/2013;R$ 193,45;R$ 2.298.993.654,00;0
23/10/2013;R$ 206,78;R$ 2.458.505.640,00;0
24/10/2013;R$ 198,80;R$ 2.364.666.360,00;0
25/10/2013;R$ 172,48;R$ 2.052.637.048,00;0
26/10/2013;R$ 178,96;R$ 2.130.644.072,00;0
27/10/2013;R$ 189,83;R$ 2.260.913.266,00;0
28/10/2013;R$ 198,55;R$ 2.365.643.830,00;0
29/10/2013;R$ 204,39;R$ 2.436.022.215,00;0
30/10/2013;R$ 204,20;R$ 2.434.768.490,00;0
31/10/2013;R$ 203,88;R$ 2.432.069.229,00;0
01/11/2013;R$ 205,26;R$ 2.449.516.394,00;0
02/11/2013;R$ 206,89;R$ 2.470.106.260,00;0
03/11/2013;R$ 212,45;R$ 2.537.555.912,00;0
04/11/2013;R$ 226,28;R$ 2.703.825.377,00;0
05/11/2013;R$ 230,63;R$ 2.756.789.579,00;0
06/11/2013;R$ 260,85;R$ 3.119.094.311,00;0
07/11/2013;R$ 295,63;R$ 3.536.067.384,00;0
08/11/2013;R$ 332,02;R$ 3.972.444.990,00;0
09/11/2013;R$ 358,00;R$ 4.284.552.950,00;0
10/11/2013;R$ 313,00;R$ 3.747.322.075,00;0
11/11/2013;R$ 340,55;R$ 4.078.792.891,00;0
12/11/2013;R$ 355,48;R$ 4.259.334.699,00;0
13/11/2013;R$ 404,17;R$ 4.844.512.975,00;0
14/11/2013;R$ 408,84;R$ 4.902.328.893,00;0
15/11/2013;R$ 424,16;R$ 5.087.746.180,00;0
16/11/2013;R$ 437,41;R$ 5.248.843.453,00;0
17/11/2013;R$ 488,36;R$ 5.862.542.038,00;0
18/11/2013;R$ 580,87;R$ 6.975.450.004,00;0
19/11/2013;R$ 614,40;R$ 7.380.464.640,00;0
20/11/2013;R$ 565,34;R$ 6.793.450.510,00;0
21/11/2013;R$ 675,06;R$ 8.114.440.594,00;0
22/11/2013;R$ 731,15;R$ 8.790.506.777,00;0
23/11/2013;R$ 819,31;R$ 9.853.534.129,00;0
24/11/2013;R$ 764,43;R$ 9.196.532.447,00;0
25/11/2013;R$ 793,07;R$ 9.544.775.891,00;0
26/11/2013;R$ 832,93;R$ 10.028.164.851,00;0
27/11/2013;R$ 914,13;R$ 11.009.416.068,00;0
28/11/2013;R$ 979,08;R$ 11.795.833.455,00;0
29/11/2013;R$ 1.101,83;R$ 13.280.659.993,00;0
30/11/2013;R$ 1.127,45;R$ 13.593.664.650,00;0
01/12/2013;R$ 1.033,39;R$ 12.464.724.345,00;0
02/12/2013;R$ 974,03;R$ 11.753.157.346,00;0
03/12/2013;R$ 1.078,64;R$ 13.020.236.474,00;0
04/12/2013;R$ 1.121,48;R$ 13.542.487.814,00;0
05/12/2013;R$ 989,04;R$ 11.947.405.392,00;0
06/12/2013;R$ 1.019,66;R$ 12.322.234.219,00;0
07/12/2013;R$ 811,98;R$ 9.816.777.302,00;0
08/12/2013;R$ 743,11;R$ 8.987.358.118,00;0
09/12/2013;R$ 897,89;R$ 10.863.885.372,00;0
10/12/2013;R$ 927,78;R$ 11.230.173.843,00;0
11/12/2013;R$ 887,08;R$ 10.741.252.534,00;0
12/12/2013;R$ 878,17;R$ 10.636.987.805,00;0
13/12/2013;R$ 897,27;R$ 10.872.198.158,00;0
14/12/2013;R$ 866,99;R$ 10.509.219.285,00;0
15/12/2013;R$ 854,62;R$ 10.363.485.334,00;0
16/12/2013;R$ 789,15;R$ 9.573.257.565,00;0
17/12/2013;R$ 691,65;R$ 8.393.847.109,00;0
18/12/2013;R$ 559,36;R$ 6.791.343.584,00;0
19/12/2013;R$ 677,84;R$ 8.233.502.182,00;0
20/12/2013;R$ 694,25;R$ 8.436.421.862,00;0
21/12/2013;R$ 596,12;R$ 7.246.404.914,00;0
22/12/2013;R$ 650,27;R$ 7.907.201.916,00;0
23/12/2013;R$ 645,75;R$ 7.854.951.431,00;0
24/12/2013;R$ 659,94;R$ 8.030.446.893,00;0
25/12/2013;R$ 668,74;R$ 8.140.337.961,00;0
26/12/2013;R$ 734,59;R$ 8.944.973.877,00;0
27/12/2013;R$ 734,27;R$ 8.944.473.292,00;62881800
28/12/2013;R$ 738,81;R$ 9.002.769.255,00;28121600
29/12/2013;R$ 726,47;R$ 8.855.251.580,00;27018300
30/12/2013;R$ 760,52;R$ 9.270.681.761,00;24717100
31/12/2013;R$ 755,16;R$ 9.205.343.763,00;21903500
01/01/2014;R$ 767,74;R$ 9.358.693.020,00;23448600
02/01/2014;R$ 772,53;R$ 9.417.082.760,00;16837800
03/01/2014;R$ 825,47;R$ 10.062.417.390,00;54171500
04/01/2014;R$ 849,14;R$ 10.350.952.914,00;36344700
05/01/2014;R$ 919,41;R$ 11.207.538.944,00;62414600
06/01/2014;R$ 936,38;R$ 11.414.401.972,00;88584600
07/01/2014;R$ 826,50;R$ 10.107.681.750,00;80268100
08/01/2014;R$ 838,32;R$ 10.256.342.208,00;78060300
09/01/2014;R$ 853,29;R$ 10.443.906.952,00;58813600
10/01/2014;R$ 863,30;R$ 10.570.439.442,00;29763600
11/01/2014;R$ 905,72;R$ 11.094.594.497,00;48299500
12/01/2014;R$ 867,45;R$ 10.630.187.711,00;40171100
13/01/2014;R$ 840,96;R$ 10.309.307.616,00;42950500
14/01/2014;R$ 838,05;R$ 10.276.902.394,00;23469400
15/01/2014;R$ 860,44;R$ 10.555.404.678,00;28600400
16/01/2014;R$ 837,98;R$ 10.283.900.055,00;18719700
17/01/2014;R$ 812,90;R$ 9.979.241.690,00;39266000
18/01/2014;R$ 840,00;R$ 10.315.662.000,00;18052700
19/01/2014;R$ 838,17;R$ 10.293.335.273,00;17574100
20/01/2014;R$ 869,15;R$ 10.677.333.920,00;25421600
21/01/2014;R$ 869,57;R$ 10.686.776.168,00;26779700
22/01/2014;R$ 865,03;R$ 10.635.024.832,00;17879900
23/01/2014;R$ 846,97;R$ 10.417.265.166,00;18412100
24/01/2014;R$ 808,32;R$ 9.945.387.408,00;20176000
25/01/2014;R$ 804,39;R$ 9.900.713.656,00;31742800
26/01/2014;R$ 853,51;R$ 10.508.799.200,00;22676800
27/01/2014;R$ 891,86;R$ 10.984.370.725,00;32539200
28/01/2014;R$ 777,00;R$ 9.573.533.550,00;61878700
29/01/2014;R$ 816,85;R$ 10.067.676.250,00;33409200
30/01/2014;R$ 817,17;R$ 10.074.827.642,00;16261700
31/01/2014;R$ 817,93;R$ 10.087.796.517,00;31107400
01/02/2014;R$ 832,52;R$ 10.271.715.012,00;14722200
02/02/2014;R$ 836,41;R$ 10.323.662.258,00;19347600
03/02/2014;R$ 813,38;R$ 10.043.290.888,00;12759200
04/02/2014;R$ 832,36;R$ 10.281.144.248,00;14823400
05/02/2014;R$ 830,92;R$ 10.267.242.207,00;15706200
06/02/2014;R$ 805,08;R$ 9.951.171.213,00;47441900
07/02/2014;R$ 721,32;R$ 8.918.941.470,00;65733100
08/02/2014;R$ 701,61;R$ 8.678.266.711,00;86940400
09/02/2014;R$ 672,07;R$ 8.315.656.524,00;34864400
10/02/2014;R$ 689,65;R$ 8.535.556.672,00;38527400
11/02/2014;R$ 697,76;R$ 8.638.931.672,00;121884000
12/02/2014;R$ 655,26;R$ 8.115.968.452,00;65970400
13/02/2014;R$ 651,91;R$ 8.077.474.557,00;19109100
14/02/2014;R$ 623,57;R$ 7.729.134.561,00;90917600
15/02/2014;R$ 644,10;R$ 7.986.582.360,00;57350800
16/02/2014;R$ 613,85;R$ 7.614.456.286,00;24104900
17/02/2014;R$ 645,14;R$ 8.005.429.360,00;48516100
18/02/2014;R$ 625,01;R$ 7.758.139.753,00;22066400
19/02/2014;R$ 620,99;R$ 7.711.283.048,00;13276100
20/02/2014;R$ 593,89;R$ 7.377.405.511,00;35743400
21/02/2014;R$ 582,75;R$ 7.241.455.462,00;56059000
22/02/2014;R$ 571,06;R$ 7.098.404.288,00;21675800
23/02/2014;R$ 622,97;R$ 7.746.491.782,00;44590700
